complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid
17-0206,2017-05-03 04:00:00+00,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-24-17 at 5:45pm, they were harassed and proper procedures were not followed by an officer assigned to the 19th District.",2017-04-24,05:45 PM,3462
17-0207,2017-05-03 04:00:00+00,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-23-17, proper procedures were not followed by a detective assigned to Southwest Detective Division.",2017-04-23,,3463
17-0208,2017-05-09 04:00:00+00,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-11-17 at 10:25am, their vehicle was improperly searched by officers assigned to the 15th District.",2017-04-11,10:25 AM,3464
17-0209,2017-05-16 04:00:00+00,8000,DOMESTIC,"According to the complainant, on 11-08-11 at 7:00pm, they were assaulted and a proper investigation was not conducted by a sergeant assigned to Training and Education Services. The incident occurred in the confines of the 8th district.",2011-11-08,07:00 PM,3465
17-0210,2017-05-04 04:00:00+00,9000,PHYSICAL ABUSE,"According to the complainant, on 4-16-17 at 1:45am, they were physically abused and harassed by officers assigned to the 9th District.",2017-04-16,01:45 AM,3466
17-0211,2017-05-04 04:00:00+00,2400,LACK OF SERVICE,"According to the complainant, on 4-25-17 at 1:30am, they did not receive proper service from an officer assigned to the 25th District.",2017-04-25,01:30 AM,3467
17-0212,2017-04-27 04:00:00+00,2200,CRIMINAL ALLEGATION,"According to the complainant, on 4-26-17 at approximately 4:30pm, an unidentified officer took money from them. The incident occurred in the confines of the 22nd District.",2017-04-26,04:30 PM,3468
17-0213,2017-05-04 04:00:00+00,1900,VERBAL ABUSE,"According to the complainant, on 4-6-17, they were verbally abused by officers assigned to the 19th District.",2017-04-06,,3469
17-0214,2017-05-04 04:00:00+00,1000,DEPARTMENTAL VIOLATIONS,"According to the complaint, on 4-17-17 at 11:30am, they were harassed and physically abused by officers assigned to the 1st District.",2017-04-17,11:30 AM,3470
17-0215,2017-05-04 04:00:00+00,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-6-17, proper procedures were not followed by officers assigned to the 19th District.",2017-04-06,,3471
17-0216,2017-05-04 04:00:00+00,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, their vehicle was confiscated and proper police procedures were not followed by a detective assigned to Major Crimes.",,,3472
17-0217,2017-05-04 04:00:00+00,6000,VERBAL ABUSE,"According to the complainant, on 4-27-17, they called 911 and were verbally abused by an unknown dispatcher.",2017-04-27,,3473
17-0218,2017-05-04 04:00:00+00,5000,LACK OF SERVICE,"According to the complainant, on 4-12-17 at 11:57am, they did not receive proper service from officers assigned to the 5th District.",2017-04-12,11:57 AM,3474
17-0219,2017-05-04 04:00:00+00,3000,LACK OF SERVICE,"According to the complainant, on 4-11-17 at 8:00pm, proper service was not provided by officers assigned to the 3rd District.",2017-04-11,08:00 PM,3475
17-0220,2017-05-04 04:00:00+00,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-21-17 at 8:30pm, their vehicle was damaged by officers assigned to the 25th District.",2017-04-21,08:30 PM,3476
17-0221,2017-05-03 04:00:00+00,9000,HARASSMENT,"According to the complainant, on 4-27-17 at 9:45am, they were harassed by officers assigned to the 12th District.",2017-04-27,09:45 AM,3477
17-0222,2017-05-04 04:00:00+00,2200,LACK OF SERVICE,"According to the complainant, on 4-8-17 at 6:42pm, their family members did not receive proper service from unknown 911 call takers and officers assigned to the 22nd District.",2017-04-08,06:42 PM,3478
17-0223,2017-05-16 04:00:00+00,3500,PHYSICAL ABUSE,"According to the complaint, on 5-2-17 at 12:42pm, they were improperly stopped and threatened by an officer assigned to the 35th District.",2017-05-02,12:42 PM,3479
17-0224,2017-05-10 04:00:00+00,2400,LACK OF SERVICE,"According to the complainant, on 3-18-17 at 10am, they did not receive proper service from officers assigned to the 24th District.",2017-03-18,,3480
17-0225,2017-05-11 04:00:00+00,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-3-17 at 4:21pm, their vehicle was damaged by officer assigned to the 12th District.",2017-05-03,04:21 PM,3481
17-0226,2017-05-16 04:00:00+00,2200,LACK OF SERVICE,"According to the complainant, on 5-4-17, they did not receive proper service from Sergeants assigned to the 22nd District.",2017-05-04,,3482
17-0227,2017-05-17 04:00:00+00,3900,LACK OF SERVICE,"According to the complainant, on 5-5-17 at 10:30pm, they did not receive proper service from a sergeant and lieutenant assigned to the 39th District.",2017-05-05,10:30 PM,3483
17-0228,2017-05-11 04:00:00+00,1500,PHYSICAL ABUSE,"According to the complaint, on 5-6-17, at 11:15am, they were physically abused by an unknown officer. This incident occurred in the confines of the 15th District.",2017-05-06,11:15 AM,3484
17-0229,2017-05-09 04:00:00+00,2600,LACK OF SERVICE,"According to the complainant, on 5-4-17 at 9:00pm, they did not receive proper service from unidentified police personnel. This incident occurred in the confines of the 26th District.",2017-05-04,09:00 PM,3485
17-0230,2017-05-11 04:00:00+00,2600,LACK OF SERVICE,"According to the complainant, since 4-18-17, they have not received proper service from officers and a sergeant assigned to the 26th District.",2017-04-18,,3486
17-0231,2017-05-12 04:00:00+00,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-12-17 at 5:50am, their residence was improperly entered and property was damaged by officers assigned to the 39th District.",2017-04-12,05:50 AM,3487
17-0232,2017-05-11 04:00:00+00,1900,PHYSICAL ABUSE,"According to the complainant, on 5-6-17 at 11:30am, they were physically abused and harassed by officers assigned to the 19th District.",2017-05-06,11:30 AM,3488
22-0063,2022-02-16 05:00:00+00,0500,VERBAL ABUSE,"According to the complainant, on 2-13-22 at 2:00 PM, while in the confines of the 5th District, they called police to report a prior theft. The responding officer was rude towards them. The complainant states that the officer criticized and blamed them, even though they were the victim.",2022-02-13,02:00 PM,6549
17-0240,2017-05-19 04:00:00+00,3900,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 4-26-17 at 9:00pm, their person and their vehicle were improperly searched by officers assigned to the 22nd District.",2017-04-26,09:00 PM,3496
22-0064,2022-02-18 05:00:00+00,0500,LACK OF SERVICE,"According to the complainant, on 8-22-21 at 9:30 AM, while in the confines of the 5th District, they were assaulted by an unknown individual. The complainant states that he filed a police report and later informed the assigned detective that they wanted to press charges. The complainant states that as of this date, they have not heard anything about their case.",2021-08-22,09:30 AM,6550
22-0065,2022-02-18 05:00:00+00,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-8-22 at 8:50 PM, while in the confines of the 18th District they were stopped by police. The officer asked for the complainant¿s information but refused to tell them why they were stopped. The complainant states that the officer later accused them of motor vehicle violations that they did not commit. The complainant states that the officer began to ask them questions as if they were criminals and feels that they were harassed.",2022-02-08,08:50 PM,6551
22-0066,2022-02-18 05:00:00+00,1500,LACK OF SERVICE,"According to the complainant, on 2-16-22 at 11:00 PM, while in the confines of the 15th District, they did not receive proper service from unknown 15th District officers. They waited over 4 hours for police to arrive for an approved 302 petition.",2022-02-16,11:00 PM,6552
22-0067,2022-02-18 05:00:00+00,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-10-22 at 5:15 AM, while in the confines of the 16th District, a 16th District officer violated departmental policies. Their employee of a repossession business attempted to seize a vehicle while in possession of an order to repossess. The officer arrived and forced the complainant¿s employee to unload the vehicle because it was in a ¿try and locate status.¿ The complainant states that the lienholder of the vehicle is now holding his company responsible.",2022-02-10,05:15 AM,6553
22-0068,2022-02-22 05:00:00+00,1900,LACK OF SERVICE,"According to the complainant, on 2-17-22 at 3:00 PM, while in the confines of the 19th District, they did not receive proper service from unknown 19th District officers. There was a shooting in the area of a school. The complainant states that no police arrived in the area of the school to protect the children.",2022-02-17,03:00 PM,6554
22-0069,2022-02-22 05:00:00+00,0600,VERBAL ABUSE,"According to the complainant, on 2-17-22, while in the confines of the 6th District, they were verbally abused by an unknown 911 call taker. They called 911 to report that they heard gunshots. The complainant states that the 911 call taker was unprofessional. The call taker asked the complainant if they, or anyone in their household, were on drugs.",2022-02-17,,6555
22-0070,2022-02-25 05:00:00+00,7700,PHYSICAL ABUSE,"According to the complainant, on 1-25-22 at 6:40 AM, they were physically abused by officers assigned to the Airport Unit. The complainant states that officers utilized excessive force while taking them into custody and transporting them to a hospital.",2022-01-25,06:40 AM,6556
22-0071,2022-02-24 05:00:00+00,3500,LACK OF SERVICE,"According to the complainant, on 2-19-22 at 11:30 PM, their family member was dropped off at the 35th District by their assailants; after being assaulted. The complainant states that their family member walked into the district, with blood and throw up all over them. The complainant states that when they arrived at the district to pick up their family member, an officer told them that their family member was complaining about chest pains and needs to get to a hospital. The complainant states that they later managed to flag down another officer and asked for an ambulance. The complainant states their family member sustained serious injuries and that an ambulance should have been called from the 35th District.",2022-02-19,11:30 PM,6557
22-0072,2022-02-24 05:00:00+00,3500,PHYSICAL ABUSE,"According to the complainant, on 2-17-09, while in the confines of the 35th District, they were pulled over by an officer and issued several tickets. The complainant states that after they were handed the tickets, they opened their car door, threw the tickets on the ground, and pulled off. The complainant states that they saw the officer through their rear view mirror, pick up the tickets, get back in their car and pulled them over again. The complainant states that the officers cut their vehicle off, had their guns out, grabbed them by their hoody and slammed them on the trunk of their car, before handcuffing them. When the complainant arrived at the district, another officer asked what they were in for and the officer responded, ¿D*ck head tried to run me over.¿ The complainant states this was all lies.",2009-02-17,,6558
22-0073,2022-02-25 05:00:00+00,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-18-22 at 10:45 AM, while in the confines of the 3rd District, they double parked in front of their home, and ran inside to pick up their child. The complainant states that an officer pulled up behind their car and started to honk their horn. The complainant states that when they explained to the officer what they were doing, the officer yelled that they did not care. The complainant states that a few weeks later, they received a ticket in the mail for being double-parked that day.",2022-01-18,10:45 AM,6559
22-0074,2022-03-01 05:00:00+00,0300,LACK OF SERVICE,"According to the complainant, on 2-19-22 at 11:25 PM, while in the confines of the 3rd District, their vehicle was rear ended by another vehicle. The complainant states that they were assaulted by the other driver and police were called. The responding officer refused to take a report of any kind and then asked, what did they want them to do. The complainant also states that the officer provided them with incorrect information regarding the steps they should take, if they wanted to report the incident.",2022-02-19,11:25 PM,6560
22-0075,2022-03-01 05:00:00+00,0200,LACK OF SERVICE,"According to the complainant, on 2-19-22 at 3:15 AM, while in the confines of the 2nd District, two of their vehicles were struck. The complainant states that the driver left the scene but the driver¿s significant other arrived at the location of the accident. The complainant states that the officer did not take the situation seriously; they laughed and talked with the driver¿s significant other, instead of questioning them about the driver. The complainant states that the officer did nothing about the fact that the driver was drunk and left the scene of an accident before police arrival.",2022-02-19,03:15 AM,6561
22-0234,2022-06-02 04:00:00+00,1800,PHYSICAL ABUSE,"According to the complainant, on 5-28-22 at 1:57 AM, while in the confines of the 18th District, they were in a bar, when a fight broke out and they were pushed outside. The complainant states that they were watching officers talk to their family member, when an officer pushed them and another officer approached them, gesturing that they wanted to fight them. Officers searched the complainant¿s vehicle and found their legal weapon. The complainant states that when they were taken into custody, the sergeant twisted their arm as they put the handcuffs on them. The complainant states that they asked the officers if they could loosen the handcuffs or take them off but they refused. The complainant was so upset that they vomited in the patrol wagon. When the complainant realized that their gun was missing, they went back to the district and the sergeant said in a nasty manner, that they had their gun.",2022-05-28,01:57 AM,6720
17-0241,2017-05-17 04:00:00+00,1200,LACK OF SERVICE,"According to the complainant, proper police procedures were not followed by officers assigned to the 12th District and detectives assigned to Homicide.",,,3497
22-0235,2022-05-31 04:00:00+00,0900,CIVIL RIGHTS COMPLAINT,"According to the complainant, on behalf of an unknown person, on 5-17-22 at 9:32 AM, while in the confines of the 9th District; the unknown person¿s civil rights were violated by unknown officers. They noticed police officers along with sanitation officers remove a person¿s belongings. The complainant states that the person has been at the same location for approximately 16 months. The complainant states that the officers did not offer the person any aid or resources to help them.",2022-05-17,09:32 AM,6721
22-0236,2022-06-01 04:00:00+00,0200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-24-22 at 12:10 AM, while in the confines of the 2nd District, a detective assigned to the Shooting Investigation Group violated departmental policy. They called 911 after their vehicle was stolen. The complainant found their vehicle a few blocks away. The complainant jumped into their vehicle and was then shot. The complainant woke up in a hospital bed being questioned by a police officer, lieutenant and two detectives. The complainant states that a detective acted sarcastic and made them feel like a suspect, not a victim. Later that morning, the complainant¿s parent received a text message containing confidential police department information, which included the complainant¿s personnal information.",2022-05-24,12:10 AM,6722
22-0237,2022-06-01 04:00:00+00,0600,LACK OF SERVICE,"According to the complainant, on 5-28-22 at 5:28 PM, while in the confines of the 6th District, a 6th District officer did not provide proper service. While walking with their partner, they were approached by a person who asked for spare change. When they declined, the person pulled out a knife and chased them. The complainant noticed a police car conducting a vehicle investigation and was in the process of writing a traffic citation. The complainant approached the patrol car and told the officer what had just occurred. The officer said that they were too busy and told them to call 911. The complainant called 911. Approximately 10 minutes later, the same officer responded and took their report. The complainant states that they noticed the same person was walking freely and had not been apprehended.",2022-05-28,05:28 PM,6723
22-0238,2022-06-02 04:00:00+00,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-29-22 at 2:00 PM, while in the confines of the 16th District, a 16th District officer performed an improper search and violated departmental policies. Their vehicle was ¿Live-Stopped¿ even though all of their information was valid. During the vehicle investigation, the officer turned the complainant¿s vehicle off and the temperature outside was 90 degrees. A short while later, the complainant was told to exit their vehicle and told that it will be towed. The officer then proceeded to search the complainant¿s vehicle without permission.",2022-05-29,02:00 PM,6724
22-0239,2022-06-06 04:00:00+00,1200,LACK OF SERVICE,"According to the complainant, 5-20-22 at 4:00 PM, while in the confines of the 12th District, they went to the district to file a fraud report. The complainant states that the corporal and officer did not appear to be able to hear them nor grasp the details of the fraud. The complainant feels that they could not accurately report the crime.",2022-05-20,04:00 PM,6725
22-0240,2022-06-08 04:00:00+00,1200,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 6-1-22, while in the confines of the 12th District, a detective along with officers entered their residence to execute a warrant. The complainants state that the detective was disrespectful and argumentative with them. The complainants feel that the situation was racist and that they were targeted. The complainants state that they cooperated with the officers, so there was no reason for them to be treated so inhumanely. The complainants also state that that their home was damaged during the search.",2022-06-01,,6726
22-0241,2022-06-06 04:00:00+00,3500,HARASSMENT,"According to the complainant, on 5-4-22, while in the confines of the 35th District, they were harassed and departmental policies were violated by a 35th District officer. They and their family have been harassed by the officer after they were in a relationship with the officer¿s spouse. The complainant states that they have noticed the officer at their place of employment more frequently lately. The officer has told 35th District officers and their co-workers about the relationship. The officer took a photo of their license plate and believes that the officer used departmental equipment to obtain their personal information. On 5-25-22, the complainant¿s family members began receiving unknown/blocked calls on their phones. The complainant¿s family member answered one call and it was the officer who threatened to tell family members about their relationship. On 5-8-22, the complainant states their vehicle was vandalized. On 5-27-22, the officer posted the complainant¿s face on social media with a caption.",2022-05-04,,6727
22-0242,2022-06-08 04:00:00+00,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-12-22 at 9:30 PM, while in the confines of the 35th District, they were injured during a shooting. The complainant was handcuffed and placed in a patrol car. A medic cleaned their wound and the medic told them that they did not need to go to the hospital. When the complainant was transported to the detective division to be interviewed, officers felt they needed to go to the hospital and they were returned to the district. The complainant asked if they were under arrest but no one would answer them. The complainant stayed overnight in a cell room and was not able to call their family members, did not receive medical treatment, nor where they questioned by detectives. On 5-13-22, the complainant was charged with three different crimes. The complainant states they do not know the whereabouts of their firearm, and stated their valuables were stolen out of their vehicle while they were sitting in a cell room.",2022-05-12,09:30 PM,6728
22-0409,2022-09-09 04:00:00+00,0800,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-22-22 and 8-30-22, while in the confines of the 8th District, they were treated unprofessionally by two 8th District officers. Officers were sent to a home to do a welfare check on their parent. The complainant¿s parent has a medical condition and their child has Power of Attorney. The complainant states that during a visit, their sibling took their father to their home, out of state in Philadelphia, PA. The complainant believes that their parent was abducted by their sibling. The complainant believes that their parent was abducted by their family member. Officers will not look at documentation about their parent¿s mental state or the Power of Attorney. Officers will not adequately explain why they can not help them. An officer said in a loud tone that they had already helped them and welfare checks are not the responsibility of the police. An officer told the complainant that their own parent has the same medical condition and they did not believe that their parent suffered from it.",2022-08-22,,6895
17-0242,2017-05-19 04:00:00+00,1400,VERBAL ABUSE,"According to the complainant, on 5-12-17 at 12:56pm, they were verbally abused by an officer assigned to the 14th District.",2017-05-12,12:56 PM,3498
17-0243,2017-05-22 04:00:00+00,3500,VERBAL ABUSE,"According to the complaint, on 5-13-17 at 5:54pm, they were verbally abused by an officer assigned to the 35th District.",2017-05-13,05:54 PM,3499
17-0244,2017-05-16 04:00:00+00,2400,DOMESTIC,"According to the complainant, on 4-30-17 at 10:43am, they abused their police powers while off-duty. The officer is assigned to the 17th District.",2017-04-30,10:43 AM,3500
22-0410,2022-09-12 04:00:00+00,1500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-24-22 at 11:00 PM, while in the confines of the 15th District, they were the victim of an assault by an individual they allowed to live with them. The complainant called 911 but later fell asleep. The responding officers spoke to the assailant but not them. The complainant states they left their phone number with the 911 operator for the officers to call them when they arrived, but they did not. The complainant states they called 911 again, police responded and took a report that they later discovered was incorrectly prepared. Also, one of the officers was aggressive and rude. On 8-27-22, the complainant went to the district and was able to file a correct report.",2022-08-24,11:00 PM,6896
22-0411,2022-09-08 04:00:00+00,,PHYSICAL ABUSE,"According to the complainant, on 9-1-22 at 3:30 PM, while in the confines of the 15th District, they dropped off their partner on the highway. A school crossing guard nearby called over an officer. The officer proceeded to push their partner and said ¿What the f*ck are you going to do?¿ The officer then knocked on the complainant¿s window and told them to move their car. The complainant states that they told the officer that they could not back up or move the car until the children move. The officer told them to turn their f*cking wheel and leave. The officer began to yell and curse. The complainant became afraid and complied. The complainant drove to the next block and parked. The officer ran to the complainant and knocked on the window again. The officer told the complainant that they struck another vehicle. The complainant¿s partner approached the vehicle. The officer told them to shut the f*ck up and pushed them again. The complainant states that they exited the vehicle. The officer pushed them multiple times, grabbed their wrist and stated they were going to cuff them. Another officer approached and told the officer to calm down and smacked the handcuffs out of their hand.",2022-09-01,03:30 PM,6897
22-0412,2022-09-08 04:00:00+00,1200,LACK OF SERVICE,"According to the complainant, states on 9-2-22 at 6:00 AM, while in the confines of the 12th District, an officer responded to a call for illegally parked vehicles. The complainant states the responding officer knocked on the door of the person illegally parked instead of writing tickets and told them that they are getting off soon. The complainant states that the officer begged the owner of the vehicle for an hour, even after the owner told the officer that they did not care about a ticket. The complainant pointed to the tow signs, but the officer refused to write the ticket until a supervisor was called.",2022-09-02,06:00 AM,6898
22-0413,2022-09-12 04:00:00+00,0300,LACK OF SERVICE,"According to the complainant, on 9-6-22 at 11:00 AM, while in the confines of the 3rd District, they did not receive proper service from an unknown officer. They attempted to talk to an officer, but the officer walked away and acted as if they did not care. The officer did not take any information and brushed them off to another officer.",2022-09-06,11:00 AM,6899
22-0414,2022-09-12 04:00:00+00,2400,PHYSICAL ABUSE,"According to the complainant, on 8-6-22, while in the confines of the 24th District, they called 911 for help but when officers responded, they beat them. A supervisor was called to the location but did nothing. The complainant also states that they made an inappropriate comment.",2022-08-06,,6900
22-0415,2022-09-15 04:00:00+00,1800,PHYSICAL ABUSE,"According to the complainant, on 9-8-22 at 2:38 PM, while in the confines of the 18th District, police approached them and placed in them in handcuffs. The complainant states that officers then began fighting them to take off the handcuffs.",2022-09-08,02:38 PM,6901
22-0416,2022-09-15 04:00:00+00,0800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-9-22 at 3:45 PM, while in the confines of the 15th District, they flagged down an officer and stated that they had been involved in a verbal dispute involving a road rage incident with an off-duty officer. The complainant stated that the off-duty officer displayed their firearm at them but did not point it at them.",2022-09-09,03:45 PM,6902
22-0417,2022-09-16 04:00:00+00,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-9-22 at 10:00 AM, while in the confines of the 39th District, they called 911. The complainant states that the officers who responded, were hostile towards them and would not write down their names or badge numbers for them.",2022-09-09,10:00 AM,6903
22-0418,2022-09-23 04:00:00+00,1900,LACK OF SERVICE,"According to the complainant, while in the confines of the 19th District, they called 911 numerous times to their residence, in reference to their neighbors harassing them. The complainant was put in touch with the community relations officer. The complainant states that officer was rude to them and was disinterested in their situation. The complainant states that the officer refused to see them and discuss the problems they were having with their neighbors.",,,6904
22-0419,2022-09-16 04:00:00+00,0600,PHYSICAL ABUSE,"According to the complainant, on 8-24-22 at 2:35 PM, while in the confines of the 6th District, they noticed officers riding in the street and yelled out their window to them, that it was not a bike lane. As the complainant continued driving, they saw an officer trying to chase them down. The complainant states that after two blocks, the officer stopped them. The officers informed the complainant that they were stopped because they had almost struck the officers. The complainant states that an officer put their hands on them for no reason, they began to scuffle and another officer broke it up.",2022-08-24,02:35 PM,6905
22-0420,2022-09-16 04:00:00+00,3500,LACK OF SERVICE,"According to the complainant, on 9-7-22, while in the confines of the 35th District, they called the district because they were attempting to 302 a family member. The complainant states they repeatedly called the district for assistance but officers never arrived.",2022-09-07,,6906
17-0233,2017-05-12 04:00:00+00,5000,LACK OF SERVICE,"According to the complainant, on 5-7-17 at 4:30pm, they did not receive proper service from officers assigned to the 5th District.",2017-05-07,04:30 PM,3489
17-0234,2017-05-11 04:00:00+00,8000,LACK OF SERVICE,"According to the complainant, on 4-21-17 at 8:00am, they did not receive proper service from an officer assigned to the 8th District and other unidentified officers.",2017-04-21,08:00 AM,3490
17-0235,2017-06-01 04:00:00+00,1000,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 6-5-15 at 10:00pm, they were falsely arrested by an officer assigned to the DVIC.",2015-06-05,10:00 PM,3491
17-0236,2017-05-18 04:00:00+00,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, they were harassed by an officer assigned to the 35th District.",,,3492
17-0237,2017-05-17 04:00:00+00,7000,VERBAL ABUSE,"According to the complainant, on 5-6-17 at approximately 9:30pm, he was threatened by an off-duty officer known to them as ""B"".",2017-05-06,09:30 PM,3493
17-0238,2017-05-18 04:00:00+00,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-9-17 at 2:12pm, their property was improperly entered by officers assigned to the 22nd District.",2017-04-09,02:12 PM,3494
17-0239,2017-05-18 04:00:00+00,3900,PHYSICAL ABUSE,"According to the complainant, on 5-8-17 at 4:15pm, they were physically abused by officers assigned to the 39th District.",2017-05-08,04:15 PM,3495
17-0333,2017-06-29 04:00:00+00,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-1-17 at 3:40pm, they were falsely arrested by an officer assigned to the 19th District.",2017-06-01,03:40 PM,3589
17-0245,2017-05-23 04:00:00+00,1400,LACK OF SERVICE,"According to the complainant, on 12-19-16 at 11:24pm, they did not receive proper service and were treated unprofessionally by an officer assigned to the 14th District.",2016-12-19,11:24 PM,3501
17-0246,2017-05-26 04:00:00+00,3000,LACK OF SERVICE,"According to the complainant, on 5-14-17 at 11:00am, they did not receive proper service from an officer assigned to the 3rd District.",2017-05-14,11:00 AM,3502
17-0247,2017-05-26 04:00:00+00,3500,PHYSICAL ABUSE,"According to the complainant, on 5-12-17, a patient was physically abused by an officer assigned to the 14th District.",2017-05-12,,3503
17-0248,2017-05-22 04:00:00+00,1800,PHYSICAL ABUSE,"According to the complainant, on 4-26-17, they were physically abused by an officer assigned to the 18th District.",2017-04-26,,3504
17-0249,2017-05-22 04:00:00+00,9000,LACK OF SERVICE,"According to the complainant, on 5-11-17 at 3:30pm, they did not receive proper service from an officer assigned to the 9th District.",2017-05-11,03:30 PM,3505
17-0250,2017-05-23 04:00:00+00,2600,VERBAL ABUSE,"According to the complainant, on 4-28-17 at 10:18am, they were harassed by a sergeant assigned to the 26th District.",2017-04-28,10:18 AM,3506
17-0251,2017-05-25 04:00:00+00,1900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 5-16-17 at 3:00pm, they were falsely arrested by offices assigned to the 19th District.",2017-05-16,03:00 PM,3507
17-0252,2017-05-24 04:00:00+00,1700,PHYSICAL ABUSE,"According to the complainant, on 5-17-17 at 9:30pm, they were verbally abused and threatened by an officer assigned to the 17th District.",2017-05-17,09:30 PM,3508
17-0253,2017-05-26 04:00:00+00,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-15-17, they were verbally abused and is missing property after being arrested by a sergeant assigned to the 12th District.",2017-01-15,,3509
17-0254,2017-05-26 04:00:00+00,2400,PHYSICAL ABUSE,"According to the complainant, on 5-19-17 at 11:20pm, they were physically abused and their property is missing after arrested by officers assigned to the 24th District.",2017-05-19,11:20 PM,3510
17-0255,2017-05-31 04:00:00+00,2400,LACK OF SERVICE,"According to the complaint, they did not receive proper service from unknown 24th District officers on two different dates.",,,3511
17-0256,2017-05-26 04:00:00+00,9000,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-30-17, they are missing property after their arrest by officers assigned to the 9th District.",2017-03-30,,3512
17-0257,2017-06-01 04:00:00+00,1500,LACK OF SERVICE,"According to the complainant, on 5-18-17 at 6pm, they did not receive proper service from and was treated unprofessionally by an officer assigned to the 15th District.",2017-05-18,,3513
17-0258,2017-05-30 04:00:00+00,1500,VERBAL ABUSE,"According to the complainant, on 5-22-17 at 12:13pm, they were verbally abused by a detective assigned to Northeast Detective Division.",2017-05-22,12:13 PM,3514
17-0259,2017-05-30 04:00:00+00,3500,VERBAL ABUSE,"According to the complainant, on 5-18-17 at 2:30pm, they were verbally abused by an officer assigned to the 35th District.",2017-05-18,02:30 PM,3515
17-0260,2017-05-31 04:00:00+00,3500,VERBAL ABUSE,"According to the complainant, on 5-22-17 at 2:45pm, their family member was threatened and verbally abused by an unknown 35th District officer.",2017-05-22,02:45 PM,3516
17-0261,2017-05-30 04:00:00+00,1500,PHYSICAL ABUSE,"According to the complainant, on 5-20-17 at 6:00pm, they were physically abused and improperly searched by officers assigned to the 15th District.",2017-05-20,06:00 PM,3517
17-0262,2017-06-01 04:00:00+00,2500,VERBAL ABUSE,"According to the complainant, on 5-22-17 at 7:00pm, they were verbally abused, improperly detained and not given proper service by an officer assigned to the 25th District.",2017-05-22,07:00 PM,3518
17-0263,2017-05-30 04:00:00+00,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-23-17 at 9:00am, they were physically and verbally abused by officers assigned to the 24th District.",2017-05-23,09:00 AM,3519
17-0264,2017-06-01 04:00:00+00,2400,PHYSICAL ABUSE,"According to the complainant, on 5-22-17 at 3:30pm, their family member was physically and verbally abused by an officer assigned to the 24th District.",2017-05-22,03:30 PM,3520
17-0265,2017-05-30 04:00:00+00,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-11-17 at 8:07pm, their family member is missing property after their arrest by an officer assigned to the 24th District.",2017-05-11,08:07 PM,3521
17-0266,2017-05-30 04:00:00+00,2500,PHYSICAL ABUSE,"According to the complainant, on 5-11-17, their juvenile family member was physically abused by an off duty officer assigned to the 25th District. The incident occurred in the confines of the 22nd District.",2017-05-11,,3522
17-0267,2017-05-31 04:00:00+00,1800,DEPARTMENTAL VIOLATIONS,"According to the complainants, since 2013, they are being harassed and verbally abused by officers from the 18th District.",,,3523
22-0076,2022-02-28 05:00:00+00,,DEPARTMENTAL VIOLATIONS,"According to the complainant, on unknown dates, while in the confines of the 22nd District, two officers have planted guns on people, process the arrests and then do not show up for court. The complainant states that a supervisor is aware of the actions of these officers. The complainant also states that the same supervisor has previously opened an investigation against another officer out of retaliation.",,,6562
22-0077,2022-02-28 05:00:00+00,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on unspecified dates, some of the supervisors assigned to the 22nd District leave early and an unnamed employee never docks their camera. The complainant also states that one of the supervisors are encouraging officers to be insubordinate to another supervisor. On 6-10-21, there was a cookout at the district and alcohol was involved. The complainant also alleges that there is alcohol being stored in the cell room.",2021-06-10,,6563
